,date,conf,recov,deaths,deaths_day,conf_day,recov_day,region,population,density,city_pop_fraction,index
46,20.04.2020,132,16,3,0,24,0,Новосибирская,2798170.0,15.702413019079685,0.7920730334468599,2.0350340136054417
47,20.04.2020,36,16,0,0,3,2,Омская,1926665.0,13.791445955619183,0.7291786584590471,2.1897959183673468
48,20.04.2020,184,16,2,0,0,0,Оренбургская,1956835.0,15.780927419354839,0.6063715131832781,2.349999999999999
49,20.04.2020,175,10,1,0,43,0,Орловская,733498.0,29.696275303643723,0.6677605119577695,2.253061224489796
50,20.04.2020,165,4,5,0,25,0,Пензенская,1305563.0,30.22136574074074,0.6892888355445123,2.3680272108843536
51,20.04.2020,215,30,3,0,17,3,Пермский,2599260.0,16.184682440846824,0.7590587321006748,2.4553935860058327
52,20.04.2020,97,4,2,0,17,0,Приморский,1895868.0,11.427775768535263,0.7736693693864762,1.9385714285714273
53,20.04.2020,52,9,6,0,8,1,Псковская,626115.0,11.322151898734177,0.7087372128123428,2.2382653061224485
54,20.04.2020,292,13,0,0,60,0,Ростовская,4197821.0,41.645049603174606,0.6819940631103613,2.4141929499072328
55,20.04.2020,289,9,0,0,22,0,Рязанская,1108847.0,28.00118686868687,0.7220346900879923,2.137755102040817
56,20.04.2020,95,15,0,0,16,0,Самарская,3179532.0,59.319626865671644,0.7980363147784013,2.30544217687075
57,20.04.2020,1846,241,8,0,86,2,Санкт-Петербург,5398064.0,3855.76,1.0,2.186734693877551
58,20.04.2020,142,13,0,0,28,0,Саратовская,2421895.0,24.17060878243513,0.755953499222716,2.4189795918367354
59,20.04.2020,107,16,0,0,19,0,Саха /Якутия/,971996.0,0.3132237690126321,0.6612249433125239,2.544897959183676
60,20.04.2020,19,8,0,0,0,0,Сахалинская,488257.0,5.605706084959817,0.8234659206114813,1.6969387755102041
61,20.04.2020,149,52,1,0,8,3,Свердловская,4310681.0,22.128752566735113,0.8501475752903079,2.363775510204083
62,20.04.2020,17,2,0,0,4,0,Севастополь,449138.0,499.0422222222222,0.9323927167151299,2.6846938775510223
63,20.04.2020,145,8,2,0,25,1,Северная Осетия - Алания,696837.0,87.104625,0.6433369640245854,2.278571428571428
64,20.04.2020,189,4,2,0,16,0,Смоленская,934889.0,18.772871485943774,0.7181141290570324,2.2241496598639463
65,20.04.2020,244,26,3,0,12,0,Ставропольский,2803573.0,42.15899248120301,0.5905178855695928,2.2486394557823086
66,20.04.2020,209,8,0,0,22,0,Тамбовская,1006748.0,29.35125364431487,0.6138745743721368,2.223979591836734
67,20.04.2020,230,25,0,0,39,0,Татарстан,3902888.0,57.395411764705884,0.7692191013423906,2.320975056689341
68,20.04.2020,296,12,0,0,26,0,Тверская,1260379.0,14.98667063020214,0.7613947868061909,2.229591836734694
69,20.04.2020,33,4,0,0,4,0,Томская,1079271.0,3.40571473650994,0.7240600368211506,2.2959183673469403
70,20.04.2020,309,41,0,0,22,2,Тульская,1466127.0,57.04774319066148,0.7482182648570008,2.426700680272109
71,20.04.2020,13,0,0,0,0,0,Тыва,327383.0,1.9201348973607038,0.5429878765849173,1.5765306122448979
72,20.04.2020,254,20,2,0,27,0,Тюменская,1537416.0,1.0712207357859531,0.674789386867315,2.2289115646258497
73,20.04.2020,92,7,3,0,26,0,Удмуртская,1500955.0,35.6521377672209,0.6610304772628094,2.228316326530609
74,20.04.2020,187,3,2,0,19,0,Ульяновская,1229824.0,32.971152815013404,0.7584068939945878,2.2147959183673485
75,20.04.2020,215,16,5,1,30,4,Хабаровский,1315643.0,1.6683274156733452,0.8208807404440263,2.081122448979591
76,20.04.2020,76,3,0,0,8,0,Хакасия,534262.0,8.631050080775445,0.6982660192939045,2.089285714285714
77,20.04.2020,188,21,0,0,13,1,Ханты-Мансийский Автономный округ - Югра,1674676.0,3.2014452303574843,0.9251419379032123,2.23265306122449
78,20.04.2020,78,35,0,0,10,2,Челябинская,3466369.0,39.43536973833902,0.8268407085339154,2.365114795918369
79,20.04.2020,264,19,5,0,45,0,Чеченская,1478726.0,91.27938271604938,0.36883641729434663,2.795663265306122
80,20.04.2020,225,9,2,1,32,0,Чувашская,1217818.0,66.54743169398907,0.6338672937992377,2.292346938775509
81,20.04.2020,140,7,1,0,24,0,Ямало-Ненецкий,544444.0,0.7256350793016126,0.8395335424763612,2.430612244897959
82,20.04.2020,144,12,0,0,27,0,Ярославская,1253389.0,34.433763736263735,0.8159821093052516,2.346938775510205
